stateCategory,stateCategory-href,schoolLink,schoolLink-href,name,brief,website,acronym,founded,motto,address,phone,fax,locations,admissionOffice,students,academicCalendar,staff,campusSetting,controlType,religiousAffiliation,entityType,library,financialAid,housing,studyAbroad,sportFacility,distanceLearning,accreditations,affiliations,facebook,twitter,linkedin,instagram,youtube,itunes,wikipedia,admissionRate,BDtuitionIn,BDtuitionOut,MDtuitionIn,MDtuitionOut
"Ontario","http://www.4icu.org/ca/ontario/","OCAD University","http://www.4icu.org/reviews/9199.htm","OCAD University","Founded in 1876, OCAD University is a non-profit public higher education institution located in the urban setting of the large city of Toronto (population range of 1,000,000-5,000,000 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, OCAD University (OCAD U) is a small (uniRank enrollment range: 4,000-4,999 students) coeducational higher education institution. OCAD University (OCAD U) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 141 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this Canadian higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  OCAD U also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.ocadu.ca","OCAD U","1876","Imagination is Everything","100 McCaul Street

Toronto (population range: 1,000,000-5,000,000)

M5T 1W1 Ontario Canada","+1 (416) 977 6000","+1 (416) 977 6006","null","100 McCaul Street

Toronto M5T 1W1+1 (416) 977 6000

800 382 6516","4,000-4,999","Semesters","600-699","Urban","Public","None","Non-Profit","Yes","Yes","Not reported","Yes","Not reported","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""Council of Ontario Universities (COU)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Independent Colleges of Art and Design (AICAD)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""National Association of Schools of Art and Design (NASAD)""}]","https://www.facebook.com/ocaduniversity/","https://twitter.com/ocad","https://www.linkedin.com/school/39448","https://www.instagram.com/ocaduniversity/","","Not reported","https://en.wikipedia.org/wiki/OCAD_University","40-50%","5,000-7,500 US$ (3,700-5,500 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)"
"Quebec","http://www.4icu.org/ca/quebec/","Université Laval","http://www.4icu.org/reviews/544.htm","Université Laval","Established in 1852, Université Laval (Laval University) is a non-profit public higher education institution located in the urban setting of the medium-sized city of Quebec City (population range of 500,000-1,000,000 inhabitants), Quebec.  Officially accredited and/or recognized by the Ministre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec (Ministry of Education, Higher Education and Research, Quebec), Université Laval (UL) is a very large (uniRank enrollment range: 40,000-44,999 students) coeducational higher education institution. Université Laval (UL) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 165 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades. International applicants are eligible to apply for enrollment.  UL also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.ulaval.ca","UL","1852","Deo favente haud pluribus impar
By the grace of God, to no one equal","2305 Rue de l'Université

Quebec City (population range: 500,000-1,000,000)

G1V O6A Quebec Canada","+1 (418) 656 2131","+1 (418) 656 5216","null","Pavillon Alphonse-Desjardins, Room 3577

Quebec City G1V O6A+1 (418) 656 2764

877 785 2825","40,000-44,999","Trimesters","over-5,000","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec\n""},{""accreditations"":""Association to Advance Collegiate Schools of Business (AACSB International)""},{""accreditations"":""European Foundation for Management Development (EFMD-EQUIS)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""U15 Group of Canadian Research Universities (U15)""},{""affiliations"":""Association of Universities of the Canadian Francophonie (AUFC)""},{""affiliations"":""University of the Arctic (UArctic)""},{""affiliations"":""Canadian Bureau for Internati""}]","https://www.facebook.com/ulaval.ca/","https://twitter.com/universitelaval","https://www.linkedin.com/company/universite-laval","","","Not reported","https://en.wikipedia.org/wiki/Universit%C3%A9_Laval","Not reported","1,000-2,500 US$ (750-1,800 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","Not reported","10,000-12,500 US$ (7,400-9,200 Euro)"
"Quebec","http://www.4icu.org/ca/quebec/","Université de Sherbrooke","http://www.4icu.org/reviews/7275.htm","Université de Sherbrooke","Founded in 1954, Université de Sherbrooke (University of Sherbrooke) is a non-profit public higher education institution located in the urban setting of the large town of Sherbrooke (population range of 50,000-249,999 inhabitants), Quebec. This institution has also branch campuses in the following location(s): Longueuil. Officially accredited and/or recognized by the Ministre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec (Ministry of Education, Higher Education and Research, Quebec), Université de Sherbrooke (UdeS) is a very large (uniRank enrollment range: 35,000-39,999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Université de Sherbrooke (UdeS) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 63 years old higher-education institution has a selective admission policy based on students' past academic record and grades. International students are welcome to apply for enrollment.  UdeS also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.usherbrooke.ca","UdeS","1954","Veritatem in charitate
Truth in charity","2500 Boulevard de l'Université

Sherbrooke (population range: 50,000-249,999)

J1K 2R1 Quebec Canada","+1 (819) 821 7000","+1 (819) 821 7966","Longueuil","2500, boulevard de l'Université

Sherbrooke J1K 2R1+1 (819) 821 7686

1-800-267-8337","35,000-39,999","Semesters","Not reported","Urban","Public","Christian-Catholic","Non-Profit","Yes","Yes","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""}]","https://www.facebook.com/USherbrooke/","https://twitter.com/usherbrooke","https://www.linkedin.com/school/166701","https://www.instagram.com/usherbrooke/","","Not reported","https://en.wikipedia.org/wiki/Universit%C3%A9_de_Sherbrooke","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)"
"Manitoba","http://www.4icu.org/ca/manitoba/","The University of Winnipeg","http://www.4icu.org/reviews/621.htm","The University of Winnipeg","Founded in 1871, The University of Winnipeg is a non-profit public higher education institution located in the urban setting of the medium-sized city of Winnipeg (population range of 500,000-1,000,000 inhabitants), Manitoba.  Officially accredited and/or recognized by the Department of Advanced Education and Literacy, Manitoba, The University of Winnipeg (UofW) is a medium-sized (uniRank enrollment range: 9,000-9,999 students) coeducational higher education institution. The University of Winnipeg (UofW) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 146 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 60-70% making this Canadian higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  UofW also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.uwinnipeg.ca","UofW","1871","Lux et Veritas Floreant
Let Light and Truth Flourish","515 Portage Avenue

Winnipeg (population range: 500,000-1,000,000)

R3B 2E9 Manitoba Canada","+1 (204) 786 9469","+1 (204) 786 4006","null","515 Portage Avenue

Winnipeg R3B 2E9+1 (204) 786 9469","9,000-9,999","Semesters","300-399","Urban","Public","None","Non-Profit","Yes","Not reported","Not reported","Yes","Yes","Yes","[{""accreditations"":""\n\nDepartment of Advanced Education and Literacy, Manitoba\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""}]","https://www.facebook.com/uwinnipeg/","https://twitter.com/UWinnipeg","https://www.linkedin.com/school/32525","https://www.instagram.com/uwinnipeg/","","Not reported","https://en.wikipedia.org/wiki/University_of_Winnipeg","60-70%","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","Trent University","http://www.4icu.org/reviews/579.htm","Trent University","Founded in 1963, Trent University is a non-profit public higher education institution located in the suburban setting of the large town of Peterborough (population range of 50,000-249,999 inhabitants), Ontario. This institution has also branch campuses in the following location(s): Oshawa. Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, Trent University (TU) is a medium-sized (uniRank enrollment range: 7,000-7,999 students) coeducational higher education institution. Trent University (TU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 54 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this Canadian higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  TU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.trentu.ca","TU","1963","Nunc cognosco ex parte
Now I know in part","1600 West Bank Drive

Peterborough (population range: 50,000-249,999)

K9L0G2 Ontario Canada","+1 (705) 748 1314","+1 (705) 748 1626","Oshawa","1600 West Bank Drive

Peterborough K9L0G2+1 (705) 748 1314

1-888-739-8885","7,000-7,999","Semesters","1,000-1,499","Suburban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""Association of Universities and Colleges of Canada (AUCC)""}]","[{""affiliations"":""Universities Canada (UC)""}]","https://www.facebook.com/trentuniversity/","https://twitter.com/TrentUniversity","https://www.linkedin.com/school/20231","https://www.instagram.com/trentuniversity/","","Not reported","https://en.wikipedia.org/wiki/Trent_University","70-80%","2,500-5,000 US$ (1,800-3,700 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)"
"New Brunswick","http://www.4icu.org/ca/new-brunswick/","St. Thomas University","http://www.4icu.org/reviews/577.htm","St. Thomas University","Founded in 1910, St. Thomas University is a non-profit public higher education institution located in the urban setting of the large town of Fredericton (population range of 50,000-249,999 inhabitants), New Brunswick.  Officially accredited and/or recognized by the Department of Post-Secondary Education, Training and Labour, New Brunswick, St. Thomas University (STU) is a small (uniRank enrollment range: 2,000-2,999 students) coeducational higher education institution formally affiliated with the Christian-Catholic Basilian Fathers, Congregation of St. Basil - www.basilian.org religion. St. Thomas University (STU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 107 years old higher-education institution has a selective admission policy based on students' past academic record and grades. International students are welcome to apply for enrollment.  STU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.stu.ca","STU","1910","Doce Bonitatem Scientiam et Disciplinam
Teach me Goodness and Knowledge and Discipline","51 Dineen Drive

Fredericton (population range: 50,000-249,999)

E3B 5G3 New Brunswick Canada","+1 (506) 452 0532","+1 (506) 452 0617","null","51 Dineen Drive

Fredericton E3B 5G3+1 (506) 452 0532","2,000-2,999","Semesters","100-199","Urban","Public","Christian-Catholic Basilian Fathers, Congregation of St. Basil - www.basilian.org","Non-Profit","Yes","Yes","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nDepartment of Post-Secondary Education, Training and Labour, New Brunswick\n""},{""accreditations"":""Association of Universities and Colleges of Canada (AUCC)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""International Federation of Catholic Universities (IFCU)""},{""affiliations"":""Canadian University Press (CUP)""},{""affiliations"":""Association of Catholic Colleges and Universities (ACCU)""}]","","","","","","Not reported","https://en.wikipedia.org/wiki/St._Thomas_University_(New_Brunswick)","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","Not reported","Not reported"
"Quebec","http://www.4icu.org/ca/quebec/","Université du Québec à Trois-Rivières","http://www.4icu.org/reviews/9190.htm","Université du Québec à Trois-Rivières","Established in 1969, Université du Québec à Trois-Rivières (University of Québec, Trois-Rivières) is a non-profit public higher education institution located in the rural setting of the large town of Trois-Rivières (population range of 50,000-249,999 inhabitants), Quebec.  Officially accredited and/or recognized by the Ministre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec (Ministry of Education, Higher Education and Research, Quebec), Université du Québec à Trois-Rivières (UQTR) is a large (uniRank enrollment range: 10,000-14,999 students) coeducational higher education institution. Université du Québec à Trois-Rivières (UQTR) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 48 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this Canadian higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  UQTR also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.uqtr.ca","UQTR","1969","White and blue","3351, Boulevard des Forges

Trois-Rivières (population range: 50,000-249,999)

G9A 5H7 Quebec Canada","+1 (819) 376 5011","+1 (819) 376 5012","null","3351, Boulevard des Forges

Trois-Rivières G9A 5H7+1 (819) 376 5011

800 365 0922","10,000-14,999","Trimesters","700-799","Rural","Public","None","Non-Profit","Yes","Not reported","Not reported","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""}]","https://www.facebook.com/uqtr.ca/","https://twitter.com/UQTR","","https://www.instagram.com/uqtr/","","Not reported","https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Trois-Rivi%C3%A8res","70-80%","1,000-2,500 US$ (750-1,800 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","1,000-2,500 US$ (750-1,800 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)"
"Quebec","http://www.4icu.org/ca/quebec/","McGill University","http://www.4icu.org/reviews/547.htm","McGill University","Founded in 1821, McGill University is a non-profit public higher education institution located in the urban setting of the large city of Montreal (population range of 1,000,000-5,000,000 inhabitants), Quebec. This institution has also branch campuses in the following location(s): Ste. Anne de Bellevue. Officially accredited and/or recognized by the Ministre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec (Ministry of Education, Higher Education and Research, Quebec), McGill University  is a very large (uniRank enrollment range: 30,000-34,999 students) coeducational higher education institution. McGill University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 196 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades. International students are welcome to apply for enrollment.  McGill University also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  study abroad and exchange programs,  as well as administrative services.","http://www.mcgill.ca","null","Grandescunt aucta labore
By work, all things increase and grow","Red and white","845 Sherbrooke Street West

Montreal (population range: 1,000,000-5,000,000)

H3A 2T5 Quebec Canada","+1 (514) 398 4455","+1 (514) 398 3594","Ste. Anne de Bellevue","845 Sherbrooke Street West

Montreal H3A 2T5+1 (514) 398 3910","30,000-34,999","Semesters","over-5,000","Urban","Public","None","Non-Profit","Yes","Not reported","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Association of American Universities (AAU)""},{""affiliations"":""U15 Group of Canadian Research Universities (U15)""},{""affiliations"":""Universitas 21 (U21)""},{""affiliations"":""Association of Theological Schools in the United States and Cana""}]","https://www.facebook.com/McGillUniversity/","https://twitter.com/mcgillu","https://www.linkedin.com/school/4855","https://www.instagram.com/mcgillu/","","Not reported","https://en.wikipedia.org/wiki/McGill_University","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)","Not reported","15,000-17,500 US$ (11,000-12,900 Euro)"
"Nova Scotia","http://www.4icu.org/ca/nova-scotia/","Mount Saint Vincent University","http://www.4icu.org/reviews/553.htm","Mount Saint Vincent University","Founded in 1873, Mount Saint Vincent University is a non-profit public higher education institution located in the suburban setting of the small city of Halifax (population range of 250,000-499,999 inhabitants), Nova Scotia.  Officially accredited and/or recognized by the Department of Labour and Advanced Education, Nova Scotia, Mount Saint Vincent University (MSVU) is a small (uniRank enrollment range: 5,000-5,999 students) coeducational higher education institution. Mount Saint Vincent University (MSVU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this Canadian higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  MSVU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.msvu.ca","MSVU","1873","Veritas ad Deum ducit
Truth leads to God","166 Bedford Highway

Halifax (population range: 250,000-499,999)

B3M 2J6 Nova Scotia Canada","+1 (902) 457 6117","+1 (902) 457 6498","null","166 Bedford Highway

Halifax B3M 2J6+1 (902) 457 6117

877 733 6788","5,000-5,999","Semesters","Not reported","Suburban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nDepartment of Labour and Advanced Education, Nova Scotia\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Universities and Colleges of Canada (AUCC)""}]","https://www.facebook.com/MountSaintVincentUniversity/","https://twitter.com/msvu_halifax","https://www.linkedin.com/school/29476","https://www.flickr.com/photos/themount","","Not reported","https://en.wikipedia.org/wiki/Mount_Saint_Vincent_University","60-70%","5,000-7,500 US$ (3,700-5,500 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","Collège Universitaire Dominicain","http://www.4icu.org/reviews/9218.htm","Collège Universitaire Dominicain","Established in 1899, Collège Universitaire Dominicain (Dominican University College) is a non-profit private higher education institution located in the urban setting of the medium-sized city of Ottawa (population range of 500,000-1,000,000 inhabitants), Ontario. This institution has also branch campuses in the following location(s): Montréal. Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, Collège Universitaire Dominicain (CUD) is a very small (uniRank enrollment range: under-250 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Collège Universitaire Dominicain (CUD) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 117 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 60-70% making this Canadian higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  CUD also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.dominicanu.ca","CUD","1899","Open to receive. Eager to discuss. Striving to transform.","96 Empress Avenue

Ottawa (population range: 500,000-1,000,000)

K1R 7G3 Ontario Canada","+1 (613) 233 5696","+1 (613) 233 6064","Montréal","96 Empress Avenue

Ottawa K1R 7G3+1 (613) 233 5695","under-250","Semesters","under-50","Urban","Private","Christian-Catholic","Non-Profit","Yes","Yes","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""International Federation of Catholic Universities (IFCU)""}]","https://www.facebook.com/DUCOttawa/","https://twitter.com/DUCOttawa","https://www.linkedin.com/school/15095593","https://www.instagram.com/ducottawa/","","Not reported","https://en.wikipedia.org/wiki/Dominican_University_College","60-70%","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","University of Waterloo","http://www.4icu.org/reviews/618.htm","University of Waterloo","Established in 1957, University of Waterloo is a non-profit public higher education institution located in the urban setting of the large town of Waterloo (population range of 50,000-249,999 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, University of Waterloo (UW) is a large (uniRank enrollment range: 25,000-29,999 students) coeducational higher education institution. University of Waterloo (UW) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International applicants are eligible to apply for enrollment.  UW also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  study abroad and exchange programs,  as well as administrative services.","http://uwaterloo.ca","UW","1957","Concordia cum veritate
In harmony with truth","200 University Avenue West

Waterloo (population range: 50,000-249,999)

N2L 3G1 Ontario Canada","+1 (519) 888 4567","+1 (519) 884 8009","null","+1","25,000-29,999","Semesters","1,000-1,499","Urban","Public","None","Non-Profit","Yes","Not reported","Not reported","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""American Psychological Association (APA)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""U15 Group of Canadian Research Universities (U15)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""Association of Theological Schools in the United States and Canada (ATS)""},{""affiliations"":""Canadian Universi""}]","https://www.facebook.com/university.waterloo/","https://twitter.com/uWaterloo","https://www.linkedin.com/school/166688","","","Not reported","https://en.wikipedia.org/wiki/University_of_Waterloo","Not reported","5,000-7,500 US$ (3,700-5,500 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)"
"New Brunswick","http://www.4icu.org/ca/new-brunswick/","Yorkville University","http://www.4icu.org/reviews/9217.htm","Yorkville University","Founded in 2003, Yorkville University is a for-profit private higher education institution located in the large town of Fredericton (population range of 50,000-249,999 inhabitants), New Brunswick.  Officially accredited and/or recognized by the Department of Post-Secondary Education, Training and Labour, New Brunswick, Yorkville University  is a coeducational higher education institution. Yorkville University offers courses and programs leading to officially recognized higher education degrees such as master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details.  Yorkville University also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","http://www.yorkvilleu.ca","null","Prepare for the future without putting your life on hold","Gold and blue","1149 Smythe Street

Fredericton (population range: 50,000-249,999)

E3B 3H4 New Brunswick Canada","+1 (506) 454 1220","+1 (506) 454 1221","null","+1","Not reported","Not reported","Not reported","Not reported","Private","None","For-Profit","Yes","Not reported","Not reported","Not reported","Not reported","Not reported","[{""accreditations"":""\n\nDepartment of Post-Secondary Education, Training and Labour, New Brunswick\n""},{""accreditations"":""Canadian Technology Accreditation Board (CTAB)""}]","[{""affiliations"":""Ontario Association of Certified Engineering Technicians and Technologists (OACETT)""}]","https://www.facebook.com/YorkvilleUniversity/","https://twitter.com/YorkvilleU","https://www.linkedin.com/school/2378290","","","Not reported","https://en.wikipedia.org/wiki/Yorkville_University","Not reported","Not reported","Not reported","Not reported","Not reported"
"Quebec","http://www.4icu.org/ca/quebec/","Université du Québec","http://www.4icu.org/reviews/601.htm","Université du Québec","Founded in 1968, Université du Québec (University of Québec) is a non-profit public higher education institution located in the urban setting of the medium-sized city of Quebec City (population range of 500,000-1,000,000 inhabitants), Quebec. This institution has also branch campuses in the following location(s): Montréal, Trois-Rivières, Saguenay, Rimouski, Gatineau, Rouyn-Noranda, Québec. Officially accredited and/or recognized by the Ministre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec (Ministry of Education, Higher Education and Research, Quebec), Université du Québec (UQ) is a very large (uniRank enrollment range: over-45,000 students) coeducational higher education institution. Université du Québec (UQ) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 48 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 40-50% making this Canadian higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  UQ also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.uquebec.ca","UQ","1968","","475, Rue du Parvis

Quebec City (population range: 500,000-1,000,000)

G1K 9H7 Quebec Canada","+1 (418) 657 3551","+1 (418) 657 2132","Montréal, Trois-Rivières, Saguenay, Rimouski, Gatineau, Rouyn-Noranda, Québec","475, Rue du Parvis

Quebec City G1K 9H7+1","over-45,000","Trimesters","over-5,000","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Universities Canada (UC)""}]","https://www.facebook.com/ReseauUQ/","https://twitter.com/ReseauUQ","https://www.linkedin.com/company/universit-du-qu-bec","","","Not reported","https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec","40-50%","1,000-2,500 US$ (750-1,800 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","1,000-2,500 US$ (750-1,800 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)"
